QCode,Title,link,level,statement,Author,Tester,Editorial,Tags,Date Added,Time Limit,Source Limit,Languages
CHEF_GAM,Chefs Game,/problems/CHEF_GAM,hard,"
All submissions for this problem are available.
Chef loves that his cooks involve themselves in group activities.
	This month, Chef has involved his cooks in a rather very curious game.
	It involves all his cooks, standing in a circle. Each cook is given one integer to keep,
	which may be positive or negative (or zero).
	The sum of all the integers, given to the cooks, is positive.
Suppose there are N (N ≥ 3) cooks. Cooks are labeled from 1 to N.
	k's neighbors are (k-1) and (k+1), as they are standing in a circle.
	Note that if k = 1, k-1 wraps around to N; and if k = N, k+1 wraps around to 1.
	Let A[i] represent the integer that is kept by the cook i.
	The game proceeds in turns. In each turn, any one cook may opt to play.
	Now, suppose the cook k wants to play in this turn, the following changes happen, in the given order:

A[k-1] = A[k-1] + A[k]
A[k+1] = A[k+1] + A[k]
A[k] = -A[k]

The game would end as soon as all the numbers kept by the cooks (each A[i]) is non-negative.
Cooks are very impatient people!
	They want to end the game as quickly as possible!
	Help them determine a sequence in which they must play, such that the number of turns in which
	the game finishes, is as low as possible.
	For the purpose of this problem, you are to find the minimum number of turns in which the game can end!
Input format
The first line contains the number T, the number of test cases. In the following lines, T test cases follow (without any newlines between them.) Each test case consists of exactly two lines.
The first line contains the only positive integer N, the number of cooks playing the game. The second line contains N space separated integers, the initial numbers kept by the cooks.
Output format
For each test case, print the minimum number of turns in which the game can end.
Constraints
1 ≤ T ≤ 10
3 ≤ N ≤ 50000
-200000 ≤ (initial numbers kept by the cooks) ≤ 200000
Sample input
2
3
1 -1 2
3
4 -2 -1

Sample output
1
6

Explanation
In the first case, cook 2 can take the first turn which converts the sequence into
	(0, 1, 1) and end the game.
In the second case, the following sequence of moves are optimal.

0. (4, -2, -1) -- initial
1. (3, -3, 1) -- after cook 3 moves
2. (0,  3, -2) -- after cook 2 moves
3. (-2, 1, 2) -- after cook 3 moves
4. (2, -1, 0) -- after cook 1 moves
5. (1, 1, -1) -- after cook 2 moves
6. (0, 0, 1) -- after cook 3 moves

",gamabunta,anton_lunyov,http://discuss.codechef.com/problems/CHEF_GAM,"['hard', 'gamabunta', 'cook12']",            11-07-2011</td>        <,            8 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
FINDSEQ,Find a Subsequence,/problems/FINDSEQ,hard,"
All submissions for this problem are available.
Given an array A of N integers A[0], A[1], ..., A[N-1] and a string B which is a permutation of ""12345"".
You have to find a subsequence of 5 elements from A having distinct values such that their relative order is same as B.

Meaning that, if (i0, i1, i2, i3, i4) are the indexes of such a subsequence
 (0 <= i0 < i1 < i2 < i3 < i4 < N) then:

A[i0] is the B[0]-th smallest element among the 5 numbers.

A[i1] is the B[1]-th smallest element among the 5 numbers.

A[i2] is the B[2]-th smallest element among the 5 numbers.

A[i3] is the B[3]-th smallest element among the 5 numbers.

A[i4] is the B[4]-th smallest element among the 5 numbers.

Input
The first line of input contains T(<=60) which is the number of tests cases.  The first line of each test case will be an integer N (5<=N<=1000) and a string B containing a permutation of ""12345"". Next line will contain N integers A[0], A[1], ..., A[N-1].  Each of them will be between -109 and +109 (inclusive). 
Output
For each test case output five space separated integers in ascending order which are the indexes (i0, i1, i2, i3, i4) of a five length subsequence described before. You may output any solution. If there is no solution just output ""-1"" without quotes. 
Example
Input:
2
7 32145
6 17 5 3 13 8 10
7 12345
10 20 30 40 40 20 10

Output:
0 2 3 5 6
-1

Explanation of 1st sample: {0, 2, 3, 5, 6} is a valid solution because the values of those indexes {6, 5, 3, 8, 10} will have ranks {3, 2, 1, 4, 5} after sorting. But {0, 2, 3, 4, 5} is not a solution as the values {6, 5, 3, 13, 8} will have ranks {3, 2, 1, 5, 4} after sorting.

Explanation of 2nd sample: There is no five length subsequence in the array that will have ranks {1, 2, 3, 4, 5}  after sorting.
",rustinpiece,anton_lunyov,http://discuss.codechef.com/problems/FINDSEQ,"['rustinpiece', 'hard', 'feb12']",            7-12-2011</td>        <,            9 - 14 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
TOURNAM,Tennis Tournament,/problems/TOURNAM,easy,"
All submissions for this problem are available.
Caroline is a huge tennis fan. She loves watching tennis and especially rooting for players of Strangeland, her native country.
Generally, tennis tournaments are played using the Olympic system. Let's consider such a tournament with N = 2K players. This tournament is held in K rounds. In each round, every player plays exactly one match against some other player. The loser of each match is eliminated, and the winner advances to the next round. After the Kth round, there's only one non-eliminated player who is declared the champion of the tournament.
An example of such a tournament for N = 8 can be seen in the picture below.

We'll number the players from 1 to N from top to bottom in the tournament draw for a given N. In the first round players 1 and 2, 3 and 4, ..., N-1 and N play a match against each other. In the second round the winners of the match between players 1 and 2 and the match between players 3 and 4 play together, the winners of the match between players 5 and 6 and the match between players 7 and 8 play together, ..., the winners of the match between players N-3 and N-2 and the match between players N-1 and N play together. The matches are played in the same way till the Kth (final) round.
A big tennis tournament is going to start soon. M Strangelandian players are taking part in this tournament, and their positions in the tournament draw are known in advance. Caroline wants to know the probability that a Strangelandian player will be the champion of this tournament. She collected the information from the previous ten years of tennis history and knows that a Strangelandian player wins a match over a non-Strangelandian player with probability P percents. All non-Strangelandian players look the same to Caroline, so she considers the chance of winning a match between two non-Strangelandian players to be 50 percents for both players. The same applies to all Strangelandian players. For Caroline, all of them are equally strong, and she thinks that both of them can win a Strangelandian derby with 50-percent probability.
Help Caroline write a program which calculates the probability that a Strangelandian player will win the tournament.
Input
The first line of the input contains a single integer T, the number of test cases (no more than 20). Each test case is described by exactly two lines. The first of these lines contains three space-separated integers N, M and P (2 ≤ N ≤ 230, N = 2K for some integer K, 1 ≤ M ≤ 10000, M ≤ N, 0 ≤ P ≤ 100) -- the total number of players in the tournament, the number of competing Strangelandian players and the probability that a Strangelandian player beats a non-Strangelandian player in percents, respectively. The second of these lines contains M space-separated distinct integers Ai (1 ≤ Ai ≤ N), the 1-based positions of Strangelandian players in the tournament draw.
Output
For each test case output exactly one line containing the required probability in percents. Your answer will be considered correct if its absolute error doesn't exceed 10-6.
Example

Input:
4
2 1 42
1
4 2 66
1 2
4 2 66
1 3
8 3 71
3 5 2

Output:
42.00000000000000
66.00000000000000
73.18080000000000
75.47784648840000
 ",gennady.korotkevich,gamabunta,,"['gennady.korotkevich', 'dynamic-prog', 'probability', 'cook27']",            13-10-2012</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>C, CPP 4.9.2, CPP14, JAVA</td>        <"
MINXOR,XOR Minimization,/problems/MINXOR,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.

You are given an array A consisting of N non-negative integers. The elements of array A are indexed with integers 1, 2, 3, ..., N. You need to implement a data structure, which can process the following queries efficiently:


1 L R: find the minimal number in the subarray A[L..R] and count how many times it appears there;
2 L R K: replace each number Ai with the expression (Ai xor K) for the subarray A[L..R].
	

You can read about XOR-operation here: http://en.wikipedia.org/wiki/Exclusive_or
Input
The first line of the input contains two integers N and Q, denoting the size of A and the number of the queries to process. The second line contains N non-negative integers, denoting array A.
The next Q lines contain the queries to process, each contains one query. The format of queries is the same with the one described in the legend.
Output
Your output should contain exactly Q1 lines, where Q1 is the number of the queries of the first type in the input.
For each query of the first type you need to output two numbers: the minimal number in the subarray A[L..R] and the number of times it appears there. You should output the answers for the queries in the order they appear in the input.
Constraints

1 ≤ N ≤ 250 000;
The number of the queries of the first type won't exceed 40000;
The number of the queries of the second type won't exceed 10000;
0 ≤ Ai < 65536;
0 ≤ K < 65536, for each query of the second type appeared in the input;
1 ≤ L ≤ R ≤ N, for each query appeared in the input.

 
Example
Input:
5 3 
0 1 0 1 0 
1 1 5 
2 1 5 1 
1 1 5

Output:
0 3 
0 2

Explanation

Initially A[] = {0, 1, 0, 1, 0}.


After the second query A[] = {1, 0, 1, 0, 1}.
 ",kostya_by,gerald,http://discuss.codechef.com/problems/MINXOR,"['decomposition', 'trie', 'kostya_by', 'sqrt', 'medium', 'cook44']",            8-02-2014</td>        <,            7 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
CHEFBR,Chef and Bracket-Pairs,/problems/CHEFBR,easy,"
All submissions for this problem are available.Read problems statements in Mandarin Chinese  and Russian.
Chef loves brackets. So much so, that rather than just use plain brackets like (), {}, or [], he has invented his own notation that allows him to use many more types of brackets.
Each type of bracket is designated by an integer. A negative integer -x represents an opening bracket of type x; while a positive integer x represents a closing bracket of type x. Any sequence of such integers is then called a bracket-pair sequence.
A balanced bracket-pair sequence can be defined recursively as follows:

The empty sequence is a balanced bracket-pair sequence.
If S is a balanced bracket-pair sequence, then -x S x is a balanced bracket-pair sequence for any positive integer x. 
If S and T are balanced bracket-pair sequences, then S T is a balanced bracket-pair sequence.

For example, ""-1 -2 2 -3 -4 4 3 1"" is a balanced bracket-pair sequence, but ""-1 -2 1 2"" is not.
Chef has a bracket-pair sequence (which may or may not be balanced) consisting of N integers. There are 2N ways to form a subsequence of his sequence. He wants to know how many of these subsequences are balanced.
Help him to calculate this number, modulo 109+7.
Input
The first line contains a single integer N denoting the number of brackets in his sequence.
The second line contains N space-separated integers A1, A2, ..., AN denoting the types of brackets. A negative number means an opening bracket; a positive number means a closing bracket.
Output
In a single line print the required answer.
Constraints

1 ≤ N ≤ 100
-109 ≤ Ai ≤ 109 
Ai ≠  0
It is not guaranteed that each opening bracket has a closing bracket of same type and vice-versa. 

Subtasks

Subtask N ≤ 10 Points: 10 
Subtask N ≤ 20 Points: 15 
Subtask N ≤ 100 Points: 75 

Example
Input:
11
-1 -2 9 2 -3 -4 3 4 8 8 1 

Output:
12

 ",berezin,xiaodao,http://discuss.codechef.com/problems/CHEFBR,"['dp', 'berezin', 'easy', 'dec14']",            20-03-2014</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
SEQTOWER,Adding Up Sequences of Towers,/problems/SEQTOWER,hard,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.
You are given an array A consisting of prime numbers greater than 4.

Fun( Sequence S )
{

        if ( S has only 1 element )    return A[S[1]]

        X = S[2...last element]

        return power( A[S[1]] , Fun(X) )

}

where power(A, B) returns AB, and A is 1-indexed.
Fun(S) :
Now you need to find the sum of the values returned by Fun(S) for every distinct sequence S.
Each element of S is an integer from 1 to N. Thus, there are NN possible sequences in all. As the values can be large, return it modulo M.
Input
First line contains T, the number of test cases to follow.
First line of each test case contains two space separated integers N and M.
Second line of the test case contains N (space separated) integers of the array A.
Output

For each test case, output the sum modulo M as explained above.

Constraints
There are two types of test files:
File Type 1:

2 ≤ N ≤ 100
2 ≤ M ≤ 500
1 ≤ T ≤ 1000
Ai is a prime number greater than 4 and less than 106.


File Type 2:

2 ≤ N ≤ 105
2 ≤ M ≤ 5000
T = 1 
Ai is a prime number greater than 4 and less than 106.


Example
Input:
4
2 23
7 11
4 89
5 7 13 11
4 90
5 5 5 5
4 100
5 11 7 17

Output:
10
27
80
64

Explanation:
 Test Case 1 : Answer will be (power(7,7)+power(7,11)+power(11,7)+power(11,11) )%23  ",devuy11,adurysk,http://discuss.codechef.com/problems/SEQTOWER,"['cook60', 'devuy11', 'medium-hard', 'maths']",            21-06-2015</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
NEWSCH,The New Scheme,/problems/NEWSCH,easy,"
All submissions for this problem are available.

Scheme? - Too loudly said. Just a new idea. Now Chef is expanding his business. He wants to make some new restaurants in the big city of Lviv. To make his business competitive he should interest customers. Now he knows how. But don't tell anyone -  it is a secret plan. Chef knows four national Ukrainian dishes - salo, borsch, varenyky and galushky. It is too few, of course, but enough for the beginning. Every day in his restaurant will be a dish of the day among these four ones. And dishes of the consecutive days must be different. To make the scheme more refined the dish of the first day and the dish of the last day must be different too. Now he wants his assistant to make schedule for some period. Chef suspects that there is more than one possible schedule. Hence he wants his assistant to prepare all possible plans so that he can choose the best one among them. He asks you for help. At first tell him how many such schedules exist. Since the answer can be large output it modulo 109 + 7, that is, you need to output the remainder of division of the actual answer by 109 + 7.

Input

The first line of the input contains an integer T, the number of test cases. Each of the following T lines contains a single integer N denoting the number of days for which the schedule should be made.

Output

For each test case output a single integer in a separate line, the answer for the corresponding test case.
Constraints
1 ≤ T ≤ 100
2 ≤ N ≤ 109
Example

Input:
3
2
3
5

Output:
12
24
240
Explanation

Case 1. For N = 2 days we have the following 12 schedules:


First day
Second day


 salo 
 borsch 


 salo 
 varenyky 


 salo 
 galushky 


 borsch 
 salo 


 borsch 
 varenyky 


 borsch 
 galushky 


 varenyky 
 salo 


 varenyky 
 borsch 


 varenyky 
 galushky 


 galushky 
 salo 


 galushky 
 borsch 


 galushky 
 varenyky 



Case 2. For N = 3 we have the following 24 schedules:


First day
Second day
Third day


 salo 
 borsch 
 varenyky 


 salo 
 borsch 
 galushky 


 salo 
 varenyky 
 borsch 


 salo 
 varenyky 
 galushky 


 salo 
 galushky 
 borsch 


 salo 
 galushky 
 varenyky 


 borsch 
 salo 
 varenyky 


 borsch 
 salo 
 galushky 


 borsch 
 varenyky 
 salo 


 borsch 
 varenyky 
 galushky 


 borsch 
 galushky 
 salo 


 borsch 
 galushky 
 varenyky 


 varenyky 
 salo 
 borsch 


 varenyky 
 salo 
 galushky 


 varenyky 
 borsch 
 salo 


 varenyky 
 borsch 
 galushky 


 varenyky 
 galushky 
 salo 


 varenyky 
 galushky 
 borsch 


 galushky 
 salo 
 borsch 


 galushky 
 salo 
 varenyky 


 galushky 
 borsch 
 salo 


 galushky 
 borsch 
 varenyky 


 galushky 
 varenyky 
 salo 


 galushky 
 varenyky 
 borsch 



Case 3. Don't be afraid. This time we will not provide you with a table of 240 schedules. The only thing we want to mention here is that apart from the previous two cases schedules for other values of N can have equal dishes (and even must have for N > 4). For example the schedule (salo, borsch, salo, borsch) is a correct schedule for N = 4 while the schedule (varenyky, salo, galushky, verynky, salo) is a correct schedule for N = 5.

",witalij_hq ,anton_lunyov,http://discuss.codechef.com/problems/NEWSCH,"['oct12', 'matrix-expo', 'witalij_hq', 'simple']",            10-08-2012</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
AMSEQT,Sequence Transmission,/problems/AMSEQT,medium,"
All submissions for this problem are available.
WARNING: This problem has large input / output files. Use of faster I/O methods is recommended.
Chef has encrypted the super secret recipe for his bitsoup into a sequence of N unsigned integers A1, A2, ... AN. Each of these are M bit integers - meaning, their binary representation will only have at most M bits.
Chef is now transmitting this recipe to the Sous Chef. He partitions the sequence into several disjoint, contiguous groups and sends them one by one. Each partition may contain one or more integers which are contiguous in the sequence. Chef can partition a sequence of N integers in many ways, but the receiving program of the Sous Chef has a constraint.
For each group of integers it receives, let S represent the sum of the integers in the group. The receiver program only accepts the group of integers if the Mth least significant bit of S is 0. See the explanation section for clarity.
Chef wants to know how many ways exist to partition the recipe such that the Sous Chef can receive it completely.
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows. The first line of each test case contains two integers N and M denoting the length of Chef's sequence and the number of bits that are adequate to represent each number in the sequence. The second line contains N space-separated integers A1, A2, ... AN denoting the sequence.
Output
For each test case, output a single integer denoting the number ways you can partition Chef's sequence such that the Sous Chef's receiving program will accept each partition. Since this number can be very large output this number modulo 1000000009.
Constraints
1 ≤ T ≤ 10
1 ≤ N ≤ 200000
1 ≤ M ≤ 18
1 ≤ Ai < 2M
Sample

Input:
4
6 10
4 4 4 4 4 4
6 3
4 4 4 4 4 4
5 8
1 1 1 1 128
7 4
4 5 6 7 8 9 10

Output:
32
4
0
3

Explanation
Test Case 1. You can partition the sequence in 32 ways. Note that the sum of all the numbers in the sequence is 24. The 10th bit in 24 is already 0. Any partition's sum will be less than or equal to 24 anyway, thus each partitioning way is valid. Thus the answer is 32.
If you don't see why the answer is 32, consider the following

There is only 1 partition of { 4 }
There are 2 partitions of { 4, 4 } => { {4}, {4} } and { {4,4} }
There are 4 partitions of { 4, 4, 4 } => { {4}, {4}, {4} }, { {4}, {4,4} }, { {4,4}, {4} } and { {4,4,4} }
There are 8 partitions of { 4, 4, 4, 4 } and so on..


Test Case 2.The following 4 ways are the only ways to partition the sequence so that the Sous Chef's program accepts all the partitions.

{ {4,4}, {4,4}, {4,4} } => The 3rd bit is 0 in 8, which is the sum of values in each of the partitions.
{ {4,4}, {4,4,4,4} } => The 3rd bit is 0 in 8 as well as 16, which is the sum of values in the two partitions respectively.
{ {4,4,4,4}, {4,4} }
{ {4,4,4,4,4,4} }


Test Case 3. There is no way you can put 128 in any partition with the given sequence such that the Sous Chef's receiver would accept the partition.
Test Case 4. The following 3 partitions are valid.

{ {4}, {5}, {6}, {7,8,9,10} }
{ {4}, {5}, {6,7,8}, {9,10} }
{ {4,5,6,7,8,9,10} }


",satej ,gamabunta,http://discuss.codechef.com/problems/AMSEQT,"['bit', 'easy', 'dynamic-prog', 'cook34', 'satej']",            17-05-2013</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
SNCK03,Alternating Permutations,/problems/SNCK03,hard,"
All submissions for this problem are available.

You are given K indices, A[1], A[2], ... , A[K].
A[1] < A[2] < ... < A[K].
A[1] = 1 and A[K] = N.
A permutation of the numbers between 1 and N is called valid if :
The numbers in the permutation between indices A[1] and A[2] (inclusive) form an increasing sequence, the numbers in the permutation between indices A[2] and A[3] (inclusive) form a decreasing sequence, those between A[3] and A[4] (inclusive) form an increasing sequence and so on.
Count the number of valid permutations.
Input:
  There will be multiple test cases. The first line contains the number of test cases T.
There follow 2*T lines, 2 lines for each test case. The first line for each test case contains the numbers N and K. The second line contains K space seperated numbers, ie. A[1] to A[K].
Output:
Output T lines, one for each test case.  All answers should be output modulo 1000000007.
Constraints :
T <= 111
2 <= N <= 20000
2 <= K <= 22
K <= N
A[1] < A[2] < ... < A[K].
 A[1] = 1 and A[K] = N.
Time Limit : 20 seconds.
Sample Input :

3
3 3
1 2 3
4 3
1 3 4
10 6
1 2 5 7 8 10
Sample Output :

2
3
6166
Note :
For the first test case, 
(1 3 2) and (2 3 1) are the valid permutations.
For the second test case,
(1 2 4 3), (1 3 4 2) and (2 3 4 1) are the valid permutations.
",admin,,,['admin'],            13-11-2009</td>        <,            20 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
CHEFSHOP,Ingredients,/problems/CHEFSHOP,medium,"

                    function formatTime(ts) {
                      now = new Date(ts);

                      localtime = new Date();
                      hour = now.getHours();
                      min = now.getMinutes();
                      sec = now.getSeconds();

                      if (min <= 9) {
                        min = ""0"" + min;
                      }
                      if (sec <= 9) {
                        sec = ""0"" + sec;
                      }
                      if (hour > 12) {
                        hour = hour - 12;
                        add = "" PM"";
                      } else {
                        hour = hour;
                        add = "" AM"";
                      }
                      if (hour == 12) {
                        add = "" PM"";
                      }
                      if (hour == 00) {
                        hour = ""12"";
                      }

                      $('#server-time').html(((hour<=9) ? ""0"" + hour : hour) + "":"" + min + "":"" + sec + add);

                      nextSec = (now.getTime() + 1000);

                      setTimeout(""formatTime(""+nextSec+"")"", 1000);
                    }
                    function getDtTimeZone()
                    {
                      var rightNow = new Date();
                      var toDay = new Date(rightNow.getFullYear(), 0, 1, 0, 0, 0, 0);
                      var temp = toDay.toGMTString();
                      var date2 = new Date(temp.substring(0, temp.lastIndexOf("" "") -1));
                      var stdTime = (toDay - date2) / (1000 * 60 * 60);
                      return stdTime;
                    }
/*var d=new Date();
$.ajax({
url: '/umtza',
type:'POST',
data: 'umtza='+d.toString(),
});
*/

CodeChef is a non-commercial competitive programming community




About CodeChef
About Directi
CEO's Corner
C-Programming
Programming Languages
Contact Us


© 2009 Directi Group.  All Rights Reserved.  CodeChef uses SPOJ © by Sphere Research Labs
In order to report copyright violations of any kind, send in an email to copyright@codechef.com



The time now is: 

        formatTime('September 01, 2014 16:46:08');
      




    var _gaq = _gaq || [];
    _gaq.push(['_setAccount', 'UA-53602-42']);
    _gaq.push(['_trackPageview']);

    (function() {
      var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true;
      ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js';
      var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s);
    })();

  


    /* <![CDATA[ */
    var google_conversion_id = 1066618556;
    var google_conversion_language = ""en"";
    var google_conversion_format = ""3"";
    var google_conversion_color = ""666666"";
    var google_conversion_label = ""gbUUCPTlhAIQvJ3N_AM"";
    var google_conversion_value = 0;
    /* ]]> */
  









    /* <![CDATA[ */
    var google_conversion_id = 968176136;
    var google_conversion_language = ""en"";
    var google_conversion_format = ""3"";
    var google_conversion_color = ""ffffff"";
    var google_conversion_label = ""iDk7CPDZ7wMQiOTUzQM"";
    var google_conversion_value = 0;
    /* ]]> */
  








CodeChef - A Platform for Aspiring Programmers
CodeChef was created as a platform to help programmers make it big in the world of algorithms, computer programming and programming contests. At CodeChef we work hard to revive the geek in you by hosting a programming contest at the start of the month and another smaller programming challenge in the middle of the month. We also aim to have training sessions and discussions related to algorithms, binary search, technicalities like array size and the likes. Apart from providing a platform for programming competitions, CodeChef also has various algorithm tutorials and forum discussions to help those who are new to the world of computer programming.

Practice Section - A Place to hone your 'Computer Programming Skills'
Try your hand at one of our many practice problems and submit your solution in a language of your choice. Our programming contest judge accepts solutions in over 35+ programming languages. Preparing for coding contests were never this much fun! Receive points, and move up through the CodeChef ranks. Use our practice section to better prepare yourself for the multiple programming challenges that take place through-out the month on CodeChef. 

Compete - Monthly Programming Contests and Cook-offs
Here is where you can show off your computer programming skills. Take part in our 10 day long monthly coding contest and the shorter format Cook-off coding contest. Put yourself up for recognition and win great prizes. Our programming contests have prizes worth up to Rs.20,000 and $700lots more CodeChef goodies up for grabs. 

Discuss
Are you new to computer programming? Do you need help with algorithms? Then be a part of CodeChef's Forums and interact with all our programmers - they love helping out other programmers and sharing their ideas. Have discussions around binary search, array size, branch-and-bound, Dijkstra's algorithm, Encryption algorithm and more by visiting the CodeChef Forums and Wiki section.

CodeChef Community
As part of our Educational initiative, we give institutes the opportunity to associate with CodeChef in the form of Campus Chapters. Hosting online programming competitions is not the only feature on CodeChef. You can also host a coding contest for your institute on CodeChef, organize an algorithm event and be a guest author on our blog. 

Go For Gold
The Go for Gold Initiative was launched about a year after CodeChef was incepted, to help prepare Indian students for the ACM ICPC World Finals competition. In the run up to the ACM ICPC competition, the Go for Gold initiative uses CodeChef as a platform to train students for the ACM ICPC competition via multiple warm up contests. As an added incentive the Go for Gold initiative is also offering over Rs.8 lacs to the Indian team that beats the 29th position at the ACM ICPC world finals. Find out more about the Go for Gold and the ACM ICPC competition here.
 ",furko,iscsi,http://discuss.codechef.com/problems/CHEFSHOP,"['furko', 'greedy', 'medium', 'nov15', 'dp+bitmask']",            27-04-2015</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
