,QCode,SolutionID,timeago,UserID,Status,TimeTaken,MemTaken,SolutionUrl,Solutions
10,ALTARAY,S9725445,07:46 PM 23/03/16,/users/zidane_22281,accepted,1.87,10.3M,/viewplaintext/9725445,"
for i in range(int(input())):
  n=int(input())
  s=input().split()
  s=[int(j) for j in s]
  l=1
  k=s[0]
  for j in s[1:]:
    if(k>=0 and j<0)or(k<0 and j>=0):
      l+=1
    else:
      while l>=1:
        print(l,end="" "")
        l=l-1
      l=1
    k=j
  while l>=1:
    print(l,end="" "")
    l-=1;


"
11,ALTARAY,S9767959,11:23 AM 30/03/16,/users/meabhix,accepted,1.86,9.1M,/viewplaintext/9767959,"
t= int(input())
for i in range(t):
    n = int(input())
    a = list(map(int, input().split()))
    x = [0]*n
    x[n-1] = 1
    for i in range(n-2,-1,-1):
        if (a[i] > 0 and a[i+1] < 0) or (a[i] < 0 and a[i+1] > 0):
            x[i] = x[i+1] + 1
        else:
            x[i] = 1
    for i in x:
        print (i,end="" "")
    print()


"
12,ALTARAY,S9773410,01:35 AM 31/03/16,/users/gabbek,accepted,1.40,9.8M,/viewplaintext/9773410,"
def is_alternating(prev, current):
    if prev >= 0 and current < 0:
        return True
    elif prev < 0 and current >= 0:
        return True
    else:
        return False

t = int(input())
for _ in range(t):
    n = input()
    arr = [int(x) for x in input().split()]
    result = []
    prev = arr[0]
    count = 1
    for val in arr[1:] + [arr[-1]]:
        if is_alternating(prev, val):
            count += 1
        else:
            result.extend([x for x in range(1, count + 1)][::-1])
            count = 1
        prev = val
    print(*result)


"
13,ALTARAY,S9906157,03:59 AM 11/04/16,/users/fsaku,accepted,0.90,10.6M,/viewplaintext/9906157,"
def fn(A):
    v = [1 for i in range(len(A))]

    for i in range(len(A)-2, -1, -1):
        if A[i]*A[i+1] < 0:
            v[i] = 1 + v[i+1]

    return v

if __name__ == '__main__':
    import sys, re

    T = int(sys.stdin.readline().strip())

    for i in range(0, T):
        _ = sys.stdin.readline()

        lst = list(map(int, re.split(' ', sys.stdin.readline().strip())))
        r = fn(lst)
        print(' '.join(map(str, r)))


"
14,ALTARAY,S9921161,12:27 AM 14/04/16,/users/partha2717,accepted,2.56,9.1M,/viewplaintext/9921161,"
import sys,math
t= int(input())
for case in range(t):
    n = int(input())
    ind=0
    array={}
    result=[]
    for x in sys.stdin.readline().rstrip().split("" ""):
        array[str(ind)]=int(x)
        ind+=1
    #print(array)
    count=1
    i=0
    flag=1
    for i in range(0,n):
        #print (sum)
        #print(""happy=""+str(i))
        if count>1:
            count-=1
            result.append(str(count))
            #print(result)
            continue
        sum=array[str(i)]
        for j in range(i+1,n):
            #print(j)
            flaga=0
            #print(array[])
            if sum<0 and array[str(j)]>0:
                    count+=1
                    sum=j
            elif sum>0 and array[str(j)]<0:
                count+=1
                sum=array[str(j)]
            else:
                break
        #print(""count=""+str(count))
        result.append(str(count))
        #print(result)
        #i+=1
    res="" "".join(result)
    print(res)


"
15,ALTARAY,S9922005,11:15 AM 14/04/16,/users/kamal_16014,accepted,1.85,9.3M,/viewplaintext/9922005,"
T=int(input())
while T>0:
    N=int(input())
    A=list(map(int,input().strip().split()))
    B=[0]*N
    sign=(A[-1]>=0)
    B[-1]=1
    count=1
    for i in range(N-2,-1,-1):
        s=(A[i]>=0)
        if s^sign:
            sign^=True
            count+=1
        else:
            sign=s
            count=1
        B[i]=count
    for i in B:
        print(i,end=' ')
    print()
    T-=1


"
16,ALTARAY,S9926392,01:09 PM 15/04/16,/users/devesh19,accepted,2.71,10.2M,/viewplaintext/9926392,"
t = int(input())
for _ in range(t):
    n = int(input())
    l = input().split()
    final = [1]*n
    for i in range(n - 1):
        if (l[i][0] == '-' and l[i+1][0] != '-') or (l[i+1][0] == '-' and l[i][0] != '-'):
            final[i] += 1
    for j in range(len(final)):
        if final[-(j+1)] == 2 and final[-j] > 1:
            final[-(j+1)] += final[-j] - 1
    for k in range(len(final)):
        print(final[k], ' ', end='')

"
17,ALTARAY,S9930523,04:57 PM 16/04/16,/users/happylook,accepted,1.41,9.8M,/viewplaintext/9930523,"
def is_alternating(prev, current):
    if prev > 0 and current < 0:
        return True
    elif prev < 0 and current > 0:
        return True
    else:
        return False

for T in range(int(input())):
    n = input()
    arr = [int(x) for x in input().split()]
    result = []
    prev = arr[0]
    count = 1
    for val in arr[1:] + [arr[-1]]:
        if is_alternating(prev, val):
            count += 1
        else:
            result.extend([x for x in range(1, count + 1)][::-1])
            count = 1
        prev = val
    print(*result)

"
18,ALTARAY,S9948134,12:30 PM 19/04/16,/users/martinb,accepted,1.18,8.9M,/viewplaintext/9948134,"
for test_case in range(int(input())):
    n = int(input())
    a = [int(x) for x in input().split()]
    last_sign_positive = None
    count = 0
    output = []
    for pos in range(n):
        current_sign_positive = a[pos]>0
        if last_sign_positive != current_sign_positive:
            count +=1
        else:
            output += range(count,0,-1)
            count = 1
        last_sign_positive = current_sign_positive
    output += range(count,0,-1)
    print(*output)

"
19,ALTARAY,S9966247,05:22 PM 24/04/16,/users/reetika25,accepted,1.36,9.8M,/viewplaintext/9966247,"
t=int(input())
for i in range(t):
    n=int(input())
    arr=[int(num) for num in input().split()]
    out=[0]*n
    out[n-1]=1
    if(n>1):
        for k in range(n-2,-1,-1):
            if((arr[k]*arr[k+1])<0):
                out[k]=out[k+1]+1
            else:
                out[k]=1
    st=''
    for val in out:
        st+=str(val)+' '
    print(st[0:len(st)-1])

"
20,ALTARAY,S9990902,01:31 AM 02/05/16,/users/midge,accepted,0.96,9.5M,/viewplaintext/9990902,"
t=int(input())
for i in range(t):
    a=int(input())
    ans=[1]
    count=1
    lis=list(map(int,input().split()))[::-1]
    for j in range(1,a):
        if lis[j]*lis[j-1]<0:count+=1
        else:count=1
        ans.append(count)
    print(' '.join(map(str,ans[::-1])))

"
21,AMIFIB,S10873262,04:08 AM 23/07/16,/users/debanjan_97,accepted,2.46,8.5M,/viewplaintext/10873262,"
t = int(input())
for _ in range(t):
  l = []
  n = int(input())
  l.append(0)
  l.append(1)
  for i in range(2, 6000):
    flag = 0
    if n == 1 or n == 2:
      flag = 1
    l.append(l[i-1] + l[i-2])
    if l[i] == n :
      flag = 1
      break
    """"""if flag :
      break""""""
  if flag :
    print (""YES"")
  else :
    print (""NO"")

"
22,AMIFIB,S3000101,09:30 PM 18/11/13,/users/gautamjha_zero,accepted,0.02,5.6M,/viewplaintext/3000101,"
def main():
  ii=[]
  t=input('')
  t=int(t)
  #print(t)
  for i in range(0,t):
    a=input('');
    a=int(a)
    ii.append( (a,i) )
  #for i in ii:
    #print(i)
  ii=sorted(ii)
  #for i in ii:
    #print(i)
  n=len(ii)
  i=0
  a=0
  b=1
  oo=[]
  while i < n and ii[i][0] < 0:
    oo.append( (ii[i][1],ii[i][0],'NO') )
    i=i+1

  while i < n and ii[i][0] == 0:
    oo.append( (ii[i][1],ii[i][0],'YES') )
    i=i+1

  while i < n:
    if b < ii[i][0] :
      c=a+b
      a=b
      b=c
    elif b == ii[i][0] :
      oo.append( (ii[i][1],ii[i][0],'YES') )
      i=i+1
    else:
      oo.append( (ii[i][1],ii[i][0],'NO') )
      i=i+1
  oo=sorted(oo)
  for j in oo:
    print(j[2])

if __name__ == '__main__':
  main()

"
23,AMIFIB,S3000168,10:09 PM 18/11/13,/users/beginners2012,accepted,0.08,6.6M,/viewplaintext/3000168,"
import math
a=[0]*5000
a[0]=0
a[1]=1
for i in range(3,5000):
    a[i]=a[i-1]+a[i-2]
t=int(input())
for i in range(0,t):
    n=int(input())
    if n in a:
        print(""YES"")
    else:
        print(""NO"")





"
24,AMIFIB,S3002144,11:11 PM 20/11/13,/users/pratku123,accepted,0.04,5.6M,/viewplaintext/3002144,"
t=int(input())
while t:
    n=int(input())
    if(n==0):
        print(""YES"")
    elif(n==1):
        print(""YES"")
    else:
        f=0
        s=1
        while(s<n):
            temp=s
            s=s+f
            f=temp
        if(s==n):
            print(""YES"")
        else:
            print(""NO"")
    t=t-1

"
25,AMIFIB,S3002148,11:15 PM 20/11/13,/users/pratku123,accepted,0.04,5.6M,/viewplaintext/3002148,"
t=int(input())
while(t>0):
    n=int(input())
    if(n==0):
        print(""YES"")
    elif(n==1):
        print(""YES"")
    else:
        f=0
        s=1
        while(s<n):
            temp=s
            s=s+f
            f=temp
        if(s==n):
            print(""YES"")
        else:
            print(""NO"")
    t=t-1

"
26,AMIFIB,S3019784,01:43 PM 04/12/13,/users/adijimmy,accepted,0.55,5.7M,/viewplaintext/3019784,"
import sys
array=[]
a=1
b=1
c=2
array.append(a)
array.append(b)
array.append(c)
T=int(input())
for i in range(1,sys.maxsize):
    a=b;b=c;c=a+b;
    array.append(c)
    if len(str(c))==1000:
        break;
for i in range(T):
    x=int(input())
    if x in array:
        print(""YES"")
    else:
        print(""NO"")




"
27,AMIFIB,S3021326,12:44 PM 05/12/13,/users/akgeni,accepted,4.07,448.8M,/viewplaintext/3021326,"
memo = []
def initFibo():
    for i in range(100000):
        memo.append(0);

    memo[0] = 0
    memo[1] = 1
    memo[2] = 2
    memo[3] = 3
    for i in range(2,100000):
        memo[i] = memo[i-1] + memo[i-2]

def isFibo(n):
    if n in memo:
        return ""YES""
    else:
        return ""NO""

def main():
    initFibo();
    t = input();
    t = int(t);
    result = []
    for i in range(t):
        n = input();
        n = int(n);
        result.append(isFibo(n))
    for i in range(t):
        print(result[i])

if __name__ == ""__main__"":
    main()





"
28,AMIFIB,S3230287,07:19 PM 10/01/14,/users/tanvir002700,accepted,0.57,6.7M,/viewplaintext/3230287,"
'''
Created on Jan 8, 2014

@author: tanvir
'''
li=[]
li.append(0)
li.append(1)
i=2;
while(True):
    li.append(li[i-1]+li[i-2])
    if(len(str(li[i]))>=1000):break
    i+=1

test=int(input())
for i in range(test):
    inp=int(input())
    if(inp in li):
        print(""YES"")
    else: print(""NO"")

"
29,AMIFIB,S3253547,06:36 AM 14/01/14,/users/bendkhale,accepted,0.04,5.6M,/viewplaintext/3253547,"
t=int(input())
for i in range(t):
 num=int(input())
 a=0
 b=1
 c=0
 while num>b:
  c=a
  a=b
  b=c+b
 if num==b:
  print(""YES"")
 elif num==0:
  print(""YES"")
 else:
  print(""NO"")

"
30,AMIFIB,S3337511,02:33 PM 06/02/14,/users/manoj63,accepted,0.03,6.4M,/viewplaintext/3337511,"
def main():
    s=set({0})
    a=0
    b=1
    sum=a+b
    val=10**1000
    while  sum<=val:
        s.add(sum)
        a,b=b,sum
        sum=a+b
    s.add(sum)
    t=int(input())
    while t:
        sum=int(input())
        if sum in s:
            print ('YES')
        else:
            print ('NO')
        t-=1

    return 0

if __name__==""__main__"":
    main()


"
31,AMIFIB,S3423252,03:54 PM 16/02/14,/users/pruthvi_raj,accepted,4.82,5.6M,/viewplaintext/3423252,"
def isperfect(n):
    x = n
    y = (x + n // x) // 2
    while y < x:
        x = y
        y = (x + n // x) // 2
    return x*x == n
test_cases = int(input())
count = 0
store = []
while count < test_cases:
    x = int(input())
    store.append(x)
    count += 1
for each_item in store:
    s1 = 5*each_item*each_item-4
    s2 = 5*each_item*each_item+4
    if(isperfect(s1) == True or isperfect(s2) == True):
        print(""YES"")
    else:
        print(""NO"")

"
32,AMIFIB,S3469433,11:15 PM 23/02/14,/users/kvnt1102,accepted,0.04,5.6M,/viewplaintext/3469433,"
t=int(input())
for i in range(t):
    n=int(input())
    if(n==0):
        print(""YES"")
    elif(n==1):
        print(""YES"")
    else:
        a=0
        b=1
    while(b<n):

        t=b
        b=b+a
        a=t
    if(b==n):
        print(""YES"")
    else:
        print(""NO"")










"
33,AMIFIB,S4316335,01:37 PM 13/07/14,/users/ha13123007,accepted,0.04,5.6M,/viewplaintext/4316335,"
for i in range(int(input())):
    n=int(input())
    if(n==0):
        print(""YES"")
    elif(n==1):
        print(""YES"")
    else:
        a=0
        b=1
    while(b<n):

        t=b
        b=b+a
        a=t
    if(b==n):
        print(""YES"")
    else:
        print(""NO"")

"
34,AMIFIB,S4857130,10:08 AM 20/09/14,/users/kishanp,accepted,0.52,6.7M,/viewplaintext/4857130,"
def main():
    a=1
    b=0
    c=0
    h={}
    h[a]=1
    h[b]=1
    while len(str(c))<=1000:
        c=a+b
        b=a
        a=c
        h[c]=1
    t=int(input())
    while t:
        n=int(input())
        if n in h:
            print(""YES"")
        else:
            print(""NO"")
        t-=1

if __name__==""__main__"":main()


"
35,AMIFIB,S5213105,12:59 AM 25/10/14,/users/rdatta_1995,accepted,0.09,6.4M,/viewplaintext/5213105,"
a=[0,1]
for i in range(0,4785):
  a.append((a[i]+a[i+1]))
t=int(input())
while t>0:
  x=int(input())
  if x in a:
    print(""YES"")
  else:
    print(""NO"")
  t-=1

"
36,AMIFIB,S5242873,10:41 PM 30/10/14,/users/juggernaut_9w,accepted,0.05,5.6M,/viewplaintext/5242873,"
t=int(input())
for i in range(t):
  b=int(input())
  if b==1:
    print('YES')
  elif b==0:
    print('YES')
  else:
    a=0
    f=1
  while f<b :
    temp=f
    f=f+a
    a=temp
  if b==f :
    print('YES')
  else:
    print('NO')

"
37,AMIFIB,S5615715,01:05 AM 19/12/14,/users/akashsri99,accepted,0.03,6.5M,/viewplaintext/5615715,"
ans={}
dp=[0]*10001
dp[1]=0
dp[2]=1
ans[0]=0
ans[1]=0
ans[2]=1
i=3
while dp[i-1]<(10**1001):
    dp[i]=dp[i-1]+dp[i-2]
    ans[dp[i]]=1
    i+=1

t=int(input())
for _ in range(t):
    k=int(input())
    if k in ans:
        print(""YES"")
    else:
        print(""NO"")



"
38,AMIFIB,S5651510,08:45 PM 26/12/14,/users/kishu96,accepted,0.01,5.6M,/viewplaintext/5651510,"
def main():
    n=int(input())
    import sys
    inp=enumerate(map(int,sys.stdin.readlines()))
    ans={z:'NO' for z in range(n)}
    a=0
    b=1
    c=0
    for x,y in sorted(inp,key=lambda x:x[1]):
        if y==0:ans[x]='YES'
        while c<y:
            c=a+b
            a=b
            b=c
        if c==y:ans[x]='YES'
    for i in ans:
        print(ans[i])
main()

"
39,AMIFIB,S6068209,10:31 PM 02/02/15,/users/vedangmehta,accepted,0.20,8.5M,/viewplaintext/6068209,"
a = 0
b = 1

c = []
while(len(str(b)) <= 1000):
    a,b = b,a+b
    c.append(b)

t = int(input())

for i in range(t):
    n = int(input())
    if n in c:
        print('YES')
    else:
        print('NO')


"
40,AMIFIB,S6466965,06:41 PM 11/03/15,/users/c_utkarsh,accepted,0.03,8.5M,/viewplaintext/6466965,"
t=int(input())
while t:
    t-=1
    n=int(input())
    a=0
    b=1
    while(b<n):
        c=b
        b+=a
        a=c
    print(""YES"" if b==n else ""NO"")

"
41,AMIFIB,S7309417,06:52 PM 30/06/15,/users/raunak9994,accepted,0.04,8.5M,/viewplaintext/7309417,"
t = int( input() )
for z in range(t):
  number = int( input() )
  first = 0
  second = 1
  while second<number :
    next = second
    second = second + first
    first = next
  if (second == number):
    print (""YES"")
  else:
    print (""NO"")






"
42,AMIFIB,S7463526,10:06 PM 12/07/15,/users/alchem9st,accepted,0.02,8.5M,/viewplaintext/7463526,"
#cause Iam alchem9st
import math

def isqrt(x):
    n = int(x)
    if n == 0:
        return 0
    a, b = divmod(n.bit_length(), 2)
    x = 2**(a+b)
    while True:
        y = (x + n//x)//2
        if y >= x:
            return x
        x = y

def isfib(n):
    sq = 5*(n*n)+4
    if isqrt(sq)**2-sq==0:
        return True
    else:
        sq = sq-8
        if isqrt(sq)**2-sq==0:
            return True
        else:
            return False


y = int(input())
while y :
    t = int(input())
    if isfib(t) :
        print('YES')
    else :
        print('NO')
    y-=1




"
43,AMIFIB,S7463849,10:31 PM 12/07/15,/users/alchem9st,accepted,0.04,8.5M,/viewplaintext/7463849,"
def isqrt(x):
    n = int(x)
    if n == 0:
        return 0
    a, b = divmod(n.bit_length(), 2)
    x = 2**(a+b)
    while True:
        y = (x + n//x)//2
        if y >= x:
            return x
        x = y
def isfib(n):
    sq = 5*(n*n)+4
    if isqrt(sq)**2-sq==0:
        return True
    else:
        sq = sq-8
        if isqrt(sq)**2-sq==0:
            return True
        else:
            return False
y = int(input())
while y :
    t = int(input())
    if isfib(t) :
        print('YES')
    else :
        print('NO')
    y-=1

"
44,AMIFIB,S7463862,10:32 PM 12/07/15,/users/alchem9st,accepted,0.03,8.5M,/viewplaintext/7463862,"
def isqrt(x):
    n = int(x)
    if n == 0:
        return 0
    a, b = divmod(n.bit_length(), 2)
    x = 2**(a+b)
    while True:
        y = (x + n//x)//2
        if y >= x:
            return x
        x = y

def isfib(n):
    sq = 5*(n*n)+4
    if isqrt(sq)**2-sq==0:
        return True
    else:
        sq = sq-8
        if isqrt(sq)**2-sq==0:
            return True
        else:
            return False


y = int(input())
while y :
    t = int(input())
    if isfib(t) :
        print('YES')
    else :
        print('NO')
    y-=1




"
45,AMIFIB,S7464043,10:43 PM 12/07/15,/users/alchem9st,accepted,0.03,8.5M,/viewplaintext/7464043,"
t=int(input())
while t>0:
    n=int(input())
    t-=1
    if n==0 or n==1:
        print(""YES"")
        continue
    a,b=0,1
    while(True):
        a,b=b,a+b
        if b==n:
            print(""YES"")
            break
        if b>n:
            print(""NO"")
            break

"
46,AMIFIB,S7589550,10:22 AM 31/07/15,/users/sagarrao,accepted,0.05,8.5M,/viewplaintext/7589550,"
import math
a=[0]*5000
a[0]=0
a[1]=1
for i in range(3,5000):
    a[i]=a[i-1]+a[i-2]
t=int(input())
for i in range(0,t):
    n=int(input())
    if n in a:
        print(""YES"")
    else:
        print(""NO"")

"
